location_id,valid_time,O3,NO2,PM10,PM2.5
AF001,2024-05-31T09:00,114.855,0.635,12.892,3.868
AF001,2024-05-31T12:00,116.047,1.008,9.897,3.011
AF001,2024-05-31T15:00,97.262,4.017,8.194,4.237
AF001,2024-05-31T18:00,84.469,5.551,9.879,5.212
AF001,2024-05-31T21:00,73.867,5.668,9.576,5.535
AF001,2024-06-01T00:00,64.818,4.809,8.021,4.484
AF001,2024-06-01T03:00,78.837,3.414,12.916,4.988
AF001,2024-06-01T06:00,111.797,1.182,12.330,4.851
AF001,2024-06-01T09:00,116.782,0.715,12.648,5.834
AF001,2024-06-01T12:00,115.243,1.059,8.894,4.384
AF001,2024-06-01T15:00,98.719,3.949,7.092,4.333
AF001,2024-06-01T18:00,85.313,6.201,7.398,4.949
AF001,2024-06-01T21:00,76.326,6.189,7.818,5.202
AF001,2024-06-02T00:00,68.387,5.133,5.689,3.739
AF001,2024-06-02T03:00,77.416,4.337,7.284,4.294
AF001,2024-06-02T06:00,115.371,1.333,13.477,6.765
AF001,2024-06-02T09:00,129.059,0.812,16.180,7.766
AF001,2024-06-02T12:00,131.945,1.266,15.705,7.979
AF001,2024-06-02T15:00,115.603,6.497,16.143,9.739
AF001,2024-06-02T18:00,101.085,7.947,16.247,11.139
AF001,2024-06-02T21:00,90.309,6.701,15.528,10.713
AF001,2024-06-03T00:00,80.005,5.134,12.581,8.501
AF001,2024-06-03T03:00,93.811,5.177,15.459,10.036
AF001,2024-06-03T06:00,128.049,1.294,15.983,7.727
AF001,2024-06-03T09:00,120.119,0.664,13.674,5.075
AF001,2024-06-03T12:00,107.004,1.007,16.439,5.465
AF001,2024-06-03T15:00,91.467,4.496,13.460,7.015
AF001,2024-06-03T18:00,78.927,7.630,14.416,8.541
AF001,2024-06-03T21:00,68.978,7.038,13.638,8.330
AF001,2024-06-04T00:00,57.270,6.216,11.118,6.793
AF001,2024-06-04T03:00,80.254,4.274,16.442,7.950
AF001,2024-06-04T06:00,108.266,0.988,20.633,7.647
AF001,2024-06-04T09:00,104.183,0.685,27.571,9.579
AF001,2024-06-04T12:00,101.129,1.171,24.215,9.063
AR001,2024-05-30T12:00,9.758,23.588,21.155,14.727
AR001,2024-05-30T15:00,37.078,16.863,12.996,8.838
AR001,2024-05-30T18:00,46.591,12.360,11.247,7.584
AR001,2024-05-30T21:00,17.302,34.824,22.316,15.359
AR001,2024-05-31T00:00,9.804,38.220,31.672,21.891
AR001,2024-05-31T03:00,10.783,32.840,18.885,12.899
AR001,2024-05-31T06:00,19.804,17.628,10.700,7.148
AR001,2024-05-31T09:00,20.307,11.920,7.755,5.196
AR001,2024-05-31T12:00,12.640,18.249,10.767,7.490
AR001,2024-05-31T15:00,33.250,8.892,6.748,4.682
AR001,2024-05-31T18:00,46.151,6.509,4.934,3.398
AR001,2024-05-31T21:00,25.597,24.146,9.986,6.926
AR001,2024-06-01T00:00,25.715,23.470,11.159,7.644
AR001,2024-06-01T03:00,33.785,11.712,9.652,6.533
AR001,2024-06-01T06:00,32.133,7.611,5.826,4.046
AR001,2024-06-01T09:00,26.629,10.297,4.594,3.230
AR001,2024-06-01T12:00,19.261,18.589,8.933,6.255
AR001,2024-06-01T15:00,37.595,10.267,7.521,5.239
AR001,2024-06-01T18:00,44.742,9.696,9.309,6.476
AR001,2024-06-01T21:00,22.339,27.595,16.755,11.690
AR001,2024-06-02T00:00,3.977,41.065,39.472,27.583
AR001,2024-06-02T03:00,1.956,40.405,52.095,36.414
AR001,2024-06-02T06:00,2.949,35.285,43.276,30.258
AR001,2024-06-02T09:00,10.602,32.645,12.998,9.081
AR001,2024-06-02T12:00,18.324,20.902,5.396,3.729
AR001,2024-06-02T15:00,21.076,19.539,8.530,5.838
AR001,2024-06-02T18:00,32.062,15.171,8.730,5.961
AR001,2024-06-02T21:00,20.268,22.008,6.763,4.640
AR001,2024-06-03T00:00,14.814,24.548,5.766,4.000
AR001,2024-06-03T03:00,17.513,19.499,4.649,3.240
AR001,2024-06-03T06:00,28.645,10.510,2.775,1.907
AR001,2024-06-03T09:00,27.828,11.138,2.850,1.848
AR001,2024-06-03T12:00,17.643,21.136,10.900,7.339
AR001,2024-06-03T15:00,46.738,7.934,6.194,3.824
AR001,2024-06-03T18:00,50.824,6.340,5.060,3.114
AR001,2024-06-03T21:00,32.605,20.299,7.142,4.675
AR001,2024-06-04T00:00,23.042,28.486,9.645,6.243
AR001,2024-06-04T03:00,35.200,14.828,8.911,5.357
AR001,2024-06-04T06:00,42.282,6.520,7.543,4.327
AR001,2024-06-04T09:00,37.461,6.587,5.552,3.288
AR001,2024-06-04T12:00,26.077,14.631,7.068,4.640
AR002,2024-05-30T12:00,45.667,0.399,0.019,0.013
AR002,2024-05-30T15:00,46.671,0.316,0.261,0.149
AR002,2024-05-30T18:00,49.393,0.204,0.449,0.268
AR002,2024-05-30T21:00,42.633,1.063,0.562,0.345
AR002,2024-05-31T00:00,34.239,2.761,0.873,0.587
AR002,2024-05-31T03:00,35.919,1.487,0.521,0.358
AR002,2024-05-31T06:00,33.258,0.872,1.175,0.666
AR002,2024-05-31T09:00,26.561,1.213,1.479,0.869
AR002,2024-05-31T12:00,22.010,2.409,2.793,1.702
AR002,2024-05-31T15:00,26.356,1.935,4.032,2.414
AR002,2024-05-31T18:00,35.521,0.930,6.023,3.457
AR002,2024-05-31T21:00,36.740,0.857,10.915,6.017
AR002,2024-06-01T00:00,37.004,0.772,14.868,7.975
AR002,2024-06-01T03:00,40.617,0.431,17.568,9.246
AR002,2024-06-01T06:00,43.917,0.266,13.549,7.054
AR002,2024-06-01T09:00,45.424,0.296,9.073,4.686
AR002,2024-06-01T12:00,46.078,0.612,13.331,6.832
AR002,2024-06-01T15:00,42.798,0.810,10.665,5.483
AR002,2024-06-01T18:00,45.912,0.631,4.230,2.226
AR002,2024-06-01T21:00,43.192,1.043,1.228,0.768
AR002,2024-06-02T00:00,42.854,1.204,1.198,0.843
AR002,2024-06-02T03:00,44.250,0.964,1.207,0.840
AR002,2024-06-02T06:00,44.480,0.618,1.069,0.669
AR002,2024-06-02T09:00,47.528,0.365,1.443,0.801
AR002,2024-06-02T12:00,47.004,0.524,2.349,1.287
AR002,2024-06-02T15:00,49.946,0.417,2.173,1.216
AR002,2024-06-02T18:00,52.815,0.302,1.952,1.123
AR002,2024-06-02T21:00,45.911,0.915,1.337,0.809
AR002,2024-06-03T00:00,42.998,1.356,0.898,0.600
AR002,2024-06-03T03:00,43.349,1.347,1.034,0.704
AR002,2024-06-03T06:00,43.041,1.226,1.304,0.899
AR002,2024-06-03T09:00,43.650,1.071,1.654,1.149
AR002,2024-06-03T12:00,44.013,1.145,1.600,1.113
